ts,iter,write_prop,read_prop,pid
2025-09-07 14:47:59,23,0.537664,0.462336,5679
2025-09-07 14:48:09,24,0.866763,0.133237,5687
2025-09-07 14:48:20,25,0.805484,0.194516,5694
2025-09-07 14:48:30,26,0.900354,0.099646,5701
2025-09-07 14:48:40,27,0.667522,0.332478,5783
2025-09-07 14:48:50,28,0.150985,0.849015,5791
2025-09-07 14:49:00,29,0.492702,0.507298,5798
2025-09-07 14:49:10,30,0.722602,0.277398,5806
2025-09-07 14:49:20,31,0.885696,0.114304,5813
2025-09-07 14:49:30,32,0.446848,0.553152,5820
2025-09-07 14:49:40,33,0.308588,0.691412,5864
2025-09-07 14:49:51,34,0.904503,0.095497,5872
2025-09-07 14:50:01,35,0.133667,0.866333,5879
2025-09-07 14:50:11,36,0.633126,0.366874,5887
2025-09-07 14:50:21,37,0.083757,0.916243,5894
2025-09-07 14:50:31,38,0.677998,0.322002,5901
2025-09-07 14:50:41,39,0.647108,0.352892,5984
2025-09-07 14:50:51,40,0.997162,0.002838,5992
2025-09-07 14:51:01,41,0.482997,0.517003,5999
2025-09-07 14:51:11,42,0.573878,0.426122,6006
2025-09-07 14:51:22,43,0.070247,0.929753,6013
2025-09-07 14:51:32,44,0.905856,0.094144,6020
2025-09-07 14:51:42,45,0.891454,0.108546,6064
2025-09-07 14:51:52,46,0.712298,0.287702,6071
2025-09-07 14:52:02,47,0.497521,0.502479,6078
2025-09-07 14:52:12,48,0.904551,0.095449,6087
2025-09-07 14:52:22,49,0.482733,0.517267,6094
2025-09-07 14:52:32,50,0.268811,0.731189,6101
