timestamp,3cdaf029c87a002_write,3cdaf029c87a002_read,512e070e8eb32959_write,512e070e8eb32959_read,5b3ba363fb10d52f_write,5b3ba363fb10d52f_read,6181f76d6668aeb0_write,6181f76d6668aeb0_read,69948e3d245f62b7_write,69948e3d245f62b7_read,69f554c3f7f50a72_write,69f554c3f7f50a72_read,8861d1f6a0217629_write,8861d1f6a0217629_read,933ca51d2bb602b8_write,933ca51d2bb602b8_read,b92b49a4de72942d_write,b92b49a4de72942d_read
1760767594,0,0,0,0,0,0,0,0,0,0,27,22,0,0,0,0,0,0
1760767596,0,0,0,0,0,0,0,0,0,0,21,28,0,0,0,0,0,0
1760767598,0,0,0,0,0,0,0,0,0,0,20,13,0,0,0,0,0,0
1760767600,0,0,0,0,0,0,0,0,0,0,2,2,0,0,82,103,6,5
1760767602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767610,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,23,6,5
1760767612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,28
1760767614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,35
1760767616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10
1760767618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767620,0,0,0,0,0,0,0,0,0,0,3,4,0,0,17,11,7,4
1760767622,0,0,0,0,0,0,0,0,0,0,22,27,0,0,0,0,5,6
1760767624,0,0,0,0,0,0,0,0,0,0,25,24,0,0,0,0,0,0
1760767626,0,0,0,0,0,0,0,0,0,0,21,24,0,0,0,0,0,0
1760767628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767630,0,0,0,0,0,0,0,0,0,0,1,4,0,0,82,104,6,2
1760767632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767640,0,0,0,0,0,0,0,0,0,0,2,3,0,0,4,2,6,5
1760767642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,38
1760767644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,25
1760767646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,30
1760767648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
